"","Period","Species","Area","Centroid_X","Centroid_Y","Elevation","Contraction","Distance","Overlap","Shift_Accelerate","Double_Back","Double_Back_Relative","PoleShift","Elevation_Group","PoleShift_km","Extinction","Extinction_Overlap"
"1","Present","Saxifraga adscendens",1681540.03,-46.0805065562533,63.0258937179473,1380.41,0,0,1,"1",0,0,0,"0",0,0,0
"2","Present","Saxifraga aizoides",911436.68,-33.2118613927533,58.8022680381985,552.01,0,0,1,"1",0,0,0,"0",0,0,0
"3","Present","Saxifraga andersonii",774956.26,89.8128137086719,30.0545599938052,4688.34,0,0,1,"1",0,0,0,"1",0,0,0
"4","Present","Saxifraga androsacea",343946.06,20.5442342248431,57.2599351719482,1357.85,0,0,1,"1",0,0,0,"0",0,0,0
"5","Present","Saxifraga aphylla",25918.02,13.2038682148853,47.5200172542436,1582.99,0,0,1,"1",0,0,0,"0",0,0,0
"6","Present","Saxifraga aquatica",92136.56,6.8030288029991,47.296422065579,1228.31,0,0,1,"1",0,0,0,"0",0,0,0
"7","Present","Saxifraga aretioides",37305.73,-1.18535066341728,47.567052531817,1129.06,0,0,1,"1",0,0,0,"0",0,0,0
"8","Present","Saxifraga aristulata",157208.82,98.4109183471728,29.1817714511665,4214.46,0,0,1,"1",0,0,0,"1",0,0,0
"9","Present","Saxifraga aspera",25551.39,7.52887383363113,44.2963693666865,2067.27,0,0,1,"1",0,0,0,"0",0,0,0
"10","Present","Saxifraga babiana",13417.54,-4.07025761124122,42.3966139734582,1492.49,0,0,1,"1",0,0,0,"0",0,0,0
"11","Present","Saxifraga bergenioides",351210.69,89.984103454416,27.4033831908832,3016.26,0,0,1,"1",0,0,0,"1",0,0,0
"12","Present","Saxifraga biflora",13693.8,6.12644389438944,45.1726026769344,2322.09,0,0,1,"1",0,0,0,"0",0,0,0
"13","Present","Saxifraga biternata",22537.46,-5.02836501163693,35.5231930437031,656.34,0,0,1,"1",0,0,0,"0",0,0,0
"14","Present","Saxifraga bourgaeana",14831.37,-5.39485294117647,36.0298529411765,631.85,0,0,1,"1",0,0,0,"0",0,0,0
"15","Present","Saxifraga bryoides",47686.62,5.16944357530246,47.5564768460576,1704.25,0,0,1,"1",0,0,0,"0",0,0,0
"16","Present","Saxifraga burseriana",30602.71,14.7535559495666,47.692366036249,1264.96,0,0,1,"1",0,0,0,"0",0,0,0
"17","Present","Saxifraga caesia",72565.81,10.4020382905638,46.5374781100559,1849.51,0,0,1,"1",0,0,0,"0",0,0,0
"18","Present","Saxifraga callosa",105705.72,8.13623459997031,42.7148860768888,1257.09,0,0,1,"1",0,0,0,"0",0,0,0
"19","Present","Saxifraga camposii",22571.17,-2.87616616238023,36.9008131618759,1229.2,0,0,1,"1",0,0,0,"0",0,0,0
"20","Present","Saxifraga canaliculata",11689.23,-4.20252457551385,42.7551943699732,1379.06,0,0,1,"1",0,0,0,"0",0,0,0
"21","Present","Saxifraga capitata",1098118.71,-41.208968345372,55.1966324328555,437.45,0,0,1,"1",0,0,0,"0",0,0,0
"22","Present","Saxifraga cardiophylla",161439.73,98.3317692115481,29.6755011917118,4289.76,0,0,1,"1",0,0,0,"1",0,0,0
"23","Present","Saxifraga carpetana",85212.73,-1.34671524240709,41.0053959944664,1117.74,0,0,1,"1",0,0,0,"0",0,0,0
"24","Present","Saxifraga cebennensis",207878.71,-0.292244706871512,42.8796482075976,690.61,0,0,1,"1",0,0,0,"0",0,0,0
"25","Present","Saxifraga cernua",1472866.11,-4.63162683251522,60.0248744492666,1246.76,0,0,1,"1",0,0,0,"0",0,0,0
"26","Present","Saxifraga cespitosa",871668.29,-19.0106366533486,62.875782073235,508.38,0,0,1,"1",0,0,0,"0",0,0,0
"27","Present","Saxifraga chrysantha",14279.19,-110.519330601093,43.7610428051002,3078.54,0,0,1,"1",0,0,0,"1",0,0,0
"28","Present","Saxifraga cintrana",3829.02,-9.14889971139971,39.1898448773449,122.28,0,0,1,"1",0,0,0,"0",0,0,0
"29","Present","Saxifraga cochlearis",154355.7,5.72736344010443,45.1890940355457,805.46,0,0,1,"1",0,0,0,"0",0,0,0
"30","Present","Saxifraga conifera",6659.42,-5.1268137254902,42.7769117647059,1511.11,0,0,1,"1",0,0,0,"0",0,0,0
"31","Present","Saxifraga consanguinea",397529.35,98.4489756693198,32.4922157651954,4264.27,0,0,1,"1",0,0,0,"1",0,0,0
"32","Present","Saxifraga cortusifolia",37857.82,135.033874941342,35.0615614734866,535.73,0,0,1,"1",0,0,0,"0",0,0,0
"33","Present","Saxifraga cotyledon",224616.44,4.92783958747324,60.2939898254694,436.92,0,0,1,"1",0,0,0,"0",0,0,0
"34","Present","Saxifraga crustata",73090.43,13.5107993876464,47.0615431975506,1546.17,0,0,1,"1",0,0,0,"0",0,0,0
"35","Present","Saxifraga cuneata",87052.34,-0.120097375233279,42.7435547227741,1281.12,0,0,1,"1",0,0,0,"0",0,0,0
"36","Present","Saxifraga cuneifolia",136365.35,12.6249211210097,44.7678266518189,1287.14,0,0,1,"1",0,0,0,"0",0,0,0
"37","Present","Saxifraga diapensioides",11605.94,7.01492006132282,44.0911903197547,2286.29,0,0,1,"1",0,0,0,"0",0,0,0
"38","Present","Saxifraga dichotoma",95494.46,-2.57049451164874,41.0667842741935,1123.82,0,0,1,"1",0,0,0,"0",0,0,0
"39","Present","Saxifraga diversifolia",264774.2,99.121703409759,28.8671266901822,3780.3,0,0,1,"1",0,0,0,"1",0,0,0
"40","Present","Saxifraga egregia",647619.1,87.5388915899877,28.9769412837557,1630.76,0,0,1,"1",0,0,0,"0",0,0,0
"41","Present","Saxifraga erioblasta",15164.96,-3.31959523809524,36.126119047619,1270.34,0,0,1,"1",0,0,0,"0",0,0,0
"42","Present","Saxifraga eschscholtzii",2750594.31,17.0619087083055,56.0977975602833,1002.91,0,0,1,"1",0,0,0,"0",0,0,0
"43","Present","Saxifraga exarata",60236.13,11.5589024236304,45.2275046284608,1931.79,0,0,1,"1",0,0,0,"0",0,0,0
"44","Present","Saxifraga federici-augusti",65601.43,20.5443263497509,40.3970993629012,1208.67,0,0,1,"1",0,0,0,"0",0,0,0
"45","Present","Saxifraga felineri",16303.64,-1.28477579556413,42.7236218257795,1718.03,0,0,1,"1",0,0,0,"0",0,0,0
"46","Present","Saxifraga filicaulis",460626.33,92.847724557402,28.3729940534376,4027.64,0,0,1,"1",0,0,0,"1",0,0,0
"47","Present","Saxifraga finitima",137010.77,98.122091642925,30.1957869805092,4454.78,0,0,1,"1",0,0,0,"1",0,0,0
"48","Present","Saxifraga flagellaris",17698.69,43.6210845153664,42.8594858156028,2800.95,0,0,1,"1",0,0,0,"1",0,0,0
"49","Present","Saxifraga fortunei",86477.04,130.273179177837,34.1964193648175,376.82,0,0,1,"1",0,0,0,"0",0,0,0
"50","Present","Saxifraga fragosoi",111473.09,-0.0397078259227793,42.5948739733786,1022.78,0,0,1,"1",0,0,0,"0",0,0,0
"51","Present","Saxifraga gemmipara",175653.8,102.023227653016,25.1769961837663,2095.76,0,0,1,"1",0,0,0,"0",0,0,0
